category,cat_image,cat_desc,cat_link
Omniguard®,https://www.airease.com/AirEase/_/img/products/omniguard/omniguard-logo.svg,Total Corrosion Protection Technology for improved corrosion protection compared to traditional coils.,https://www.airease.com/products/omniguard
The Pro Series ™ Systems,https://www.airease.com/AirEase/_/img/products/section-landing-pro-series.png,"AirEase is built for life. Yours. Every component is made with craftsmanship, quality and pride, to offer more to discerning homeowners, and the professional dealers who keep them comfortable.",https://www.airease.com/products/proseries.html
Mini-Split Systems,https://www.airease.com/AirEase/_/img/products/minisplitsystems/mini-split-system-product-image.png,Engineered to fit where you need it. Mini-splits offer comfort and flexibility for nearly any area of your home.,https://www.airease.com/products/mini-split-systems
Comfort Sync® A3 Thermostat,https://pascalliedcdnep.azureedge.net/airease/section-landing-comfort-sync-thermostat-1.png,,https://www.airease.com/products/comfort-sync-thermostat/
Gas Furnaces,https://pascalliedcdnep.azureedge.net/airease/section-landing-gas-furnaces.png,AirEase gas furnaces deliver greater warmth and greater efficiency through technological advancements like EHX™ Technology.,https://www.airease.com/products/gas-furnaces/
Oil Furnaces,https://pascalliedcdnep.azureedge.net/airease/section-landing-oil-furnaces.png,"For colder climates, AirEase oil furnaces are constructed with precision and designed for a long, efficient life.",https://www.airease.com/products/oil-furnaces/
Air Conditioners,https://pascalliedcdnep.azureedge.net/airease/section-landing-air-conditioners.png,"Smart new thinking like MHT™ Technology means AirEase air conditioners are engineered for consistent, reliable, efficient cooling.",https://www.airease.com/products/air-conditioners/
Heat Pumps,https://pascalliedcdnep.azureedge.net/airease/section-landing-heat-pumps.png,"With intelligent innovations like QuietShift™ Technology, AirEase heat pumps bring technology and comfort to every season.",https://www.airease.com/products/heat-pumps/
Package Units,https://pascalliedcdnep.azureedge.net/airease/section-landing-package-units.png,"Clever design and durable construction make AirEase package units an excellent all-in-one solution, and a marvel of technology.",https://www.airease.com/products/package-units/
Air Handlers,https://pascalliedcdnep.azureedge.net/airease/section-landing-air-handlers.png,"In warmer climates, the thoughtful and efficient design of AirEase air handlers mean efficiency and reliability season after season.",https://www.airease.com/products/air-handlers/
Coils,https://pascalliedcdnep.azureedge.net/airease/section-landing-omniguard-coils.png,,https://www.airease.com/products/coils/
