heading,desc
Modulating Heat,"Provides superior comfort over traditional single- stage and two-stage products, further reducing temperature swings in your home."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your furnace can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
97% AFUE Efficiency Rating,"This means 97% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs."
Quiet Combustion™ Technology,Uses a smaller Btu input per burner for quieter start-up and operation while providing more even heat distribution.
Advanced Heat Exchanger,"Made from stainless steel for maximum strength and crimped, rather than welded, AirEase heat exchangers are highly resistant to thermal fatigue and other stresses caused by repeated heating and cooling. During the testing process, they are subjected to temperatures that far exceed normal operating ranges, to ensure they will stand up to years of use."
EHX™ Technology,"Every AirEase furnace is engineered and built with EHX Technology, a patented design that eliminates the hot spots that can shorten furnace life. EHX Technology makes heat exchangers more durable, and with its advanced airflow system, more air contacts the heat exchanger surface area for greater heat exchange, enhancing efficiency and comfort."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
97% AFUE Efficiency Rating,"This means 97% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs."
Dual-Fuel Compatible,The combination of a gas furnace and an electric heat pump pairs two energy sources for the perfect balance of energy efficiency and comfort.
Ultra Low NOx model available,
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Modulating Heat,"Provides superior comfort over traditional single- stage and two-stage products, further reducing temperature swings in your home."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your furnace can adjust humidity levels and create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
One-Touch Away Mode,Puts your system into an enhanced energy-saving modewhen you leave.
Remote Access,"Allows you to check and adjust your home’s temperature from anywhere using your laptop, smartphone, tablet or other connected device."
Weather Data,"Using its connection to your wireless network, the Comfort Sync® A3 Thermostat can display a five-day forecast and live weather alerts."
Insulated Cabinet,Prevents loss of warm air while reducing noise from the motor.
Quiet Combustion™ Technology,Uses a smaller Btu input per burner for quieter start-up and operation while providing more even heat distribution.
Advanced Heat Exchanger,"Made from stainless steel for maximum strength and crimped, rather than welded, AirEase heat exchangers are highly resistant to thermal fatigue and other stresses caused by repeated heating and cooling. During the testing process, they are subjected to temperatures that far exceed normal operating ranges, to ensure they will stand up to years of use."
EHX™ Technology,"Every AirEase furnace is engineered and built with EHX Technology, a patented design that eliminates the hot spots that can shorten furnace life. EHX Technology makes heat exchangers more durable, and with its advanced airflow system, more air contacts the heat exchanger surface area for greater heat exchange, enhancing efficiency and comfort."
Internal Monitoring,Your AirEase furnace’s electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
Warranty,AirEase’s commitment to a better product is backed by a Limited Lifetime Warranty on the stainless steel heat exchanger and a 10-Year Limited Warranty on parts.
Two-Stage Heating,"Rather than being “all on” or “all off,” your furnace can adjust its heat output based on conditions inside and outside your home. So you use less energy to maintain comfort."
Variable Speed Fan Motor,"By changing the speed of its airflow during start-up, your electric furnace can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise"
Comfort Sync® A3 Thermostat,"When you pair this model with the Comfort Sync® A3 Thermostat, the system will continuously monitor internal components for optimum performance. Comfort Sync® puts you in total control of your home environment with remote temperature adjustment from anywhere in the world, even your couch, via smartphone app. When Comfort Sync detects that repairs and regular maintenance are needed, it alerts you or your dealer instantly, so your perfect environment never ends."
96% AFUE Efficiency Rating,"This means 96% of your fuel is converted into usable heat. Compared to an older furnace, this can potentially save you hundreds of dollars per year in energy costs."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Quiet Combustion™ Technology,Uses a smaller Btu input per burner for quieter start-up and operation while providing more even heat distribution.
